category,subcategory,name,value
Sommerferien,Sachsen-Anhalt,start,1594857600.0
Sommerferien,Schleswig-Holstein,start,1593388800.0
Sommerferien,Thüringen,start,1595203200.0
Herbstferien,Baden-Württemberg,start,1603670400.0
Herbstferien,Bayern,start,1604102400.0
Herbstferien,Berlin,start,1607558400.0
Herbstferien,Brandenburg,start,1607558400.0
Herbstferien,Bremen,start,1607558400.0
Herbstferien,Hamburg,start,1589068800.0
Herbstferien,Hessen,start,1589068800.0
Herbstferien,Mecklenburg-Vorpommern,start,1589068800.0
Herbstferien,Niedersachsen,start,1607558400.0
Herbstferien,Nordrhein-Westfalen,start,1607558400.0
Herbstferien,Rheinland-Pfalz,start,1607558400.0
Herbstferien,Saarland,start,1607558400.0
Herbstferien,Sachsen,start,1603065600.0
Herbstferien,Sachsen-Anhalt,start,1603065600.0
Herbstferien,Schleswig-Holstein,start,1589068800.0
Herbstferien,Thüringen,start,1602892800.0
Weihnachtsferien,Baden-Württemberg,start,1608681600.0
Weihnachtsferien,Bayern,start,1608681600.0
Weihnachtsferien,Berlin,start,1608508800.0
Weihnachtsferien,Brandenburg,start,1608508800.0
Weihnachtsferien,Bremen,start,1608681600.0
Weihnachtsferien,Hamburg,start,1608508800.0
Weihnachtsferien,Hessen,start,1608508800.0
Weihnachtsferien,Mecklenburg-Vorpommern,start,1608508800.0
Weihnachtsferien,Niedersachsen,start,1608681600.0
Weihnachtsferien,Nordrhein-Westfalen,start,1608681600.0
Weihnachtsferien,Rheinland-Pfalz,start,1608508800.0
Weihnachtsferien,Saarland,start,1608508800.0
Weihnachtsferien,Sachsen,start,1608681600.0
Weihnachtsferien,Sachsen-Anhalt,start,1608508800.0
Weihnachtsferien,Schleswig-Holstein,start,1608508800.0
Weihnachtsferien,Thüringen,start,1608681600.0
Winterferien2021,Bayern,start,1613347200.0
Winterferien2021,Berlin,start,1609545600.0
Winterferien2021,Brandenburg,start,1609545600.0
Winterferien2021,Bremen,start,1609545600.0
Winterferien2021,Hamburg,start,1611878400.0
Winterferien2021,Mecklenburg-Vorpommern,start,1622592000.0
Winterferien2021,Niedersachsen,start,1609545600.0
Winterferien2021,Saarland,start,1613347200.0
Winterferien2021,Sachsen,start,1627862400.0
Winterferien2021,Sachsen-Anhalt,start,1627862400.0
Winterferien2021,Thüringen,start,1627862400.0
Osterferien2021,Baden-Württemberg,start,1622764800.0
Osterferien2021,Bayern,start,1616976000.0
Osterferien2021,Berlin,start,1616976000.0
Osterferien2021,Brandenburg,start,1616976000.0
Osterferien2021,Bremen,start,1616803200.0
Osterferien2021,Hamburg,start,1609632000.0
Osterferien2021,Hessen,start,1622764800.0
Osterferien2021,Mecklenburg-Vorpommern,start,1616976000.0
Osterferien2021,Niedersachsen,start,1616976000.0
Osterferien2021,Nordrhein-Westfalen,start,1616976000.0
Osterferien2021,Rheinland-Pfalz,start,1616976000.0
Osterferien2021,Saarland,start,1616976000.0
Osterferien2021,Sachsen,start,1612396800.0
Osterferien2021,Sachsen-Anhalt,start,1616976000.0
Osterferien2021,Schleswig-Holstein,start,1609718400.0
Osterferien2021,Thüringen,start,1616976000.0
Winterferien,Bayern,end,1582848000.0
Winterferien,Berlin,end,1596326400.0
Winterferien,Brandenburg,end,1596326400.0
Winterferien,Bremen,end,1585785600.0
Winterferien,Hamburg,end,1580428800.0
Winterferien,Mecklenburg-Vorpommern,end,1582243200.0
Winterferien,Niedersachsen,end,1585785600.0
Winterferien,Rheinland-Pfalz,end,1582243200.0
Winterferien,Saarland,end,1582588800.0
Winterferien,Sachsen,end,1582329600.0
Winterferien,Sachsen-Anhalt,end,1581638400.0
Winterferien,Thüringen,end,1581638400.0
Osterferien,Baden-Württemberg,end,1587168000.0
Osterferien,Bayern,end,1587168000.0
Osterferien,Berlin,end,1587081600.0
Osterferien,Brandenburg,end,1587081600.0
Osterferien,Bremen,end,1586822400.0
Osterferien,Hamburg,end,1584057600.0
