age,BE,DE_TOT,FI,IT,LU,NL,PL,UK
0,0.010324193954023383,0.009443332111567957,0.008637857859095068,0.0072612706530297624,0.010307968476642547,0.009746638774324719,0.010001076559723836,0.01100262228916986
1,0.01052732748293639,0.009592646945472731,0.009230653802638277,0.007619706085927154,0.010479007776586837,0.009883947975725029,0.010634319101782612,0.011412257443353285
2,0.010785543631851163,0.00966825594937885,0.009753133382349396,0.007886407893127625,0.010570228736557125,0.010082997134097162,0.010155213156191856,0.011810309199894514
3,0.010925127006467363,0.009356424518261816,0.010229218660150684,0.008102065578823273,0.010734752253646396,0.010052098224047535,0.009822870110330518,0.012004511163214394
4,0.011226379180201264,0.009234380480094409,0.010661265596685997,0.008356921703817985,0.010998641459274728,0.010347373763342008,0.009923152385975523,0.012062503173430831
5,0.011294206748729586,0.008910335008837051,0.01084974244819469,0.008499020188124012,0.010962804653572114,0.010138198557668968,0.009768278419833644,0.012253044062884525
6,0.011551724544300437,0.008874439703493697,0.011123396338365968,0.008867843373109533,0.010853665290750521,0.010417851052556326,0.010268768085966348,0.01257794936410748
7,0.011667214728551365,0.008680075056842564,0.011216728625411138,0.009032987093706769,0.010599549759404718,0.010636110769236467,0.010256575151716444,0.012670346466025415
8,0.011881347322631127,0.008892375310760895,0.011441269797545053,0.009279493255300496,0.011111038713523834,0.01092768306837518,0.01087820412141192,0.012452602597393867
9,0.011794489625480959,0.00875591292343376,0.011370047295003786,0.009430273050761514,0.010806425865051622,0.010966219911246064,0.01129149982361064,0.012262496835571809
10,0.011842763300379495,0.008990027404861088,0.01124083191507523,0.009537911368650785,0.010806425865051622,0.010999201893883306,0.011228165035552278,0.012241115564017238
11,0.011603751868422548,0.008932028782301272,0.011123577566107802,0.009507526779608316,0.010669594425096188,0.010798011799796125,0.010506833152098402,0.012087080382417771
12,0.01152483794055948,0.008756081559096447,0.011161816619635048,0.009520797257156308,0.010633757619393575,0.010995498653727545,0.009980166862543653,0.011768792022075916
